THERMAL ZONE: P1-6-COMMERCE 1-Cooling,THERMAL ZONE: HALL-1-7-Cooling,THERMAL ZONE: HALL-1-6-Cooling,,timestep
22.106115,22.42731,23.376648,,254
25.57128,22.81609,25.383972,,255
22.38125,24.919355,25.561913,,256
22.263138,22.82491,25.37401,,257
25.370737,25.584597,25.639902,,258
24.356003,23.860012,23.829771,,259
22.06446,22.790707,22.305124,,260
22.57356,22.614132,22.462389,,261
25.663334,23.902739,24.090555,,262
25.676836,22.697159,23.809042,,263
22.667206,25.288805,23.143154,,264
23.527609,25.585733,22.610924,,265
23.017538,22.70691,22.395763,,266
25.699594,24.44625,25.049044,,267
23.969826,24.305138,24.948378,,268
23.019909,22.57532,24.836437,,269
24.938145,24.377949,24.53721,,270
24.730556,24.056671,25.62001,,271
22.15014,23.993612,22.55878,,272
25.691362,23.368004,23.385155,,273
25.888063,25.640882,24.456196,,274
23.86559,22.666792,23.799732,,275
24.184727,23.060278,24.921768,,276
24.250519,23.142214,23.567287,,277
25.738161,25.048437,22.500305,,278
24.672195,24.886295,23.534294,,279
25.849966,24.057999,25.391432,,280
22.85719,24.56175,23.692116,,281
22.767967,23.829247,22.624922,,282
23.312489,24.908846,24.98959,,283
25.500845,24.242067,22.477547,,284
24.740963,24.768156,24.545357,,285
24.113867,22.48639,22.776028,,286
22.2987,24.682415,24.395483,,287
23.939644,25.658466,24.609087,,288
25.4105,24.422747,22.372551,,289
22.330944,25.364258,24.261793,,290
24.371807,24.143747,23.85226,,291
25.702982,22.639355,24.311335,,292
24.645906,22.879963,22.783318,,293
22.292429,24.640127,24.331152,,294
24.139122,25.6297,25.36446,,295
24.821299,22.62356,22.757023,,296
25.86807,24.910824,24.846386,,297
24.31019,24.349136,25.530125,,298
25.819828,23.354963,25.582111,,299
22.160484,22.699617,24.028627,,300
22.453104,25.357046,22.772692,,301
25.520018,22.464745,23.579126,,302
22.984566,24.548464,25.573145,,303
24.988298,23.957289,24.984182,,304
25.360771,22.52699,23.401463,,305
25.630316,22.561342,23.154034,,306
24.0476,22.464523,25.196236,,307
24.910278,25.527802,22.609482,,308
25.579338,22.840603,23.65383,,309
24.853065,24.250515,23.67295,,310
23.136106,24.900906,25.44421,,311
25.708015,22.510576,24.525703,,312
24.461243,24.089521,23.874392,,313
24.411541,24.348255,22.78122,,314
25.973034,25.70063,25.840939,,315
24.091473,22.486664,24.761007,,316
25.08562,25.411903,24.239279,,317
22.052702,22.323559,22.572363,,318
25.808825,24.405464,24.344545,,319
22.931839,25.437603,25.576069,,320
24.519869,23.009304,24.56762,,321
22.938059,23.204836,25.362898,,322
23.673452,23.916939,22.672213,,323
24.272013,22.63437,25.651222,,324
22.116802,22.968065,23.01758,,325
24.866238,25.555986,24.65177,,326
23.660465,23.462622,25.370766,,327
23.631426,25.172672,24.639088,,328
25.757595,22.491812,25.387291,,329
25.16209,22.915052,23.368374,,330
25.724125,23.83668,23.473446,,331
24.27246,23.927982,22.463545,,332
25.342373,23.415762,24.55531,,333
23.9232,24.225021,23.97662,,334
24.512081,24.54421,24.642933,,335
22.792507,24.04897,24.687529,,336
24.649841,24.036875,22.98397,,337
23.3224,22.516413,25.289324,,338
23.866362,23.043993,24.288618,,339
22.652683,24.84845,22.483618,,340
25.318941,24.371304,25.573318,,341
24.82244,22.601961,24.09848,,342
24.170591,25.723364,25.66076,,343
25.1722,24.738773,24.569962,,344
24.46754,24.077509,22.262682,,345
22.378855,25.047504,25.393032,,346
22.423859,23.05309,25.002613,,347
23.742153,23.827887,23.22079,,348
23.055878,22.808441,25.075254,,349
22.24196,24.083282,24.030056,,350
24.376505,25.586843,25.561718,,351
